Any,data,hora,grupHora,tipusDia,grupDiaLab,via,pk,nomMunicipi,nomComarca,nomProvincia,zona,D_SUBZONA,D_CLIMATOLOGIA,D_BOIRA,D_VENT,D_LLUMINOSITAT,D_SUPERFICIE,D_CARACT_ENTORN,D_CIRCULACIO_MESURES_ESP,C_VELOCITAT_VIA,D_LIMIT_VELOCITAT,D_TIPUS_VIA,D_SUBTIPUS_TRAM,D_TRACAT_ALTIMETRIC,D_SENTITS_VIA,D_INTER_SECCIO,D_REGULACIO_PRIORITAT,D_TITULARITAT_VIA,D_CARRIL_ESPECIAL,D_FUNC_ESP_VIA,D_GRAVETAT
2010,19/06/2010,5.3,Nit,dis,CapDeSetmana,AP-7,138,Mollet del Vallès,Vallès Oriental,Barcelona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau","De nit, sense llum artificial",Sec i net,Desmunt,No n'hi ha,100.0,Senyal velocitat,Carretera convencional,Intersecció en T o Y,Pla,Doble sentit,En secció,Senyal Stop o cedeix pas,Estatal,No n'hi ha,Sense funció especial,Accident greu
2010,04/09/2010,13.2,Matí,dis,CapDeSetmana,AP-7,"99,6",Avià,Berguedà,Barcelona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau","De dia, dia clar",Sec i net,A nivell,No n'hi ha,100.0,Genérica via,Autopista,Giratòria,Pla,Doble sentit,En secció,Sols marques viàries (inclou pas vianants),Estatal,No n'hi ha,Sense funció especial,Accident greu
2010,05/09/2010,7.54,Matí,dg,CapDeSetmana,AP-7,"171,5",Martorell,Baix Llobregat,Barcelona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau","De dia, dia clar",Sec i net,A nivell,No n'hi ha,30.0,Senyal velocitat,Carretera convencional,Intersecció en T o Y,Pla,Doble sentit,En secció,Semàfor,Estatal,Altres,Sense funció especial,Accident mortal
2010,27/07/2010,20.08,Tarda,dill-dij,Feiners,AP-7,"336,8",Ulldecona,Montsià,Tarragona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau","De dia, dia clar",Sec i net,A nivell,No n'hi ha,100.0,Genérica via,Carretera convencional,Encreuament o intersecció en X o +,Pla,Doble sentit,En secció,Sols norma prioritat de pas,Estatal,No n'hi ha,Sense funció especial,Accident mortal
2010,01/04/2010,5.3,Nit,dill-dij,Feiners,AP-7,"117,5",Llinars del Vallès,Vallès Oriental,Barcelona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau","De nit, sense llum artificial",Sec i net,A nivell,No n'hi ha,100.0,Genérica via,Carretera convencional,Giratòria,Pla,Doble sentit,En secció,Semàfor,Estatal,No n'hi ha,Sense funció especial,Accident mortal
2010,07/01/2010,13.45,Matí,dill-dij,Feiners,AP-7,147,Barberà del Vallès,Vallès Occidental,Barcelona,Carretera,Carretera,Pluja dèbil,No n'hi ha,"Calma, vent molt suau","De dia, dia fosc",Mullat,A nivell,No n'hi ha,100.0,Genérica via,Carretera convencional,Intersecció en T o Y,Pla,Doble sentit,En secció,Senyal Stop o cedeix pas,Estatal,No n'hi ha,Sense funció especial,Accident greu
2010,21/07/2010,6.49,Matí,dill-dij,Feiners,AP-7,"146,4",Barberà del Vallès,Vallès Occidental,Barcelona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau",Alba o capvespre,Sec i net,A nivell,No n'hi ha,120.0,Senyal velocitat,Carretera convencional,Intersecció en T o Y,Rampa o pendent,Un sol sentit,En secció,Senyal Stop o cedeix pas,Municipal,No n'hi ha,Sense funció especial,Accident greu
2010,19/12/2010,16.0,Tarda,dg,CapDeSetmana,AP-7,160,Sant Cugat del Vallès,Vallès Occidental,Barcelona,Carretera,Carretera,Bon temps,No n'hi ha,Vent moderat,"De dia, dia clar",Sec i net,Terraplé,No n'hi ha,100.0,Genérica via,Carretera convencional,Intersecció en T o Y,Pla,Doble sentit,En secció,Semàfor,Estatal,Carril lent,Sense funció especial,Accident greu
2010,30/07/2010,16.25,Tarda,div,CapDeSetmana,AP-7,"152,6",Sant Cugat del Vallès,Vallès Occidental,Barcelona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau","De dia, dia clar",Sec i net,A nivell,No n'hi ha,100.0,Genérica via,Carretera convencional,Encreuament o intersecció en X o +,Rampa o pendent,Doble sentit,En secció,Semàfor,Estatal,No n'hi ha,Sense funció especial,Accident greu
2010,19/01/2010,8.22,Matí,dill-dij,Feiners,AP-7,"74,9",Vilobí d'Onyar,Selva,Girona,Carretera,Carretera,Bon temps,No n'hi ha,"Calma, vent molt suau","De dia, dia fosc",Sec i net,A nivell,Obres,80.0,Senyal velocitat,Carretera convencional,Intersecció en T o Y,Pla,Doble sentit,En secció,Persona autoritzada,Autonòmica,No n'hi ha,Sense funció especial,Accident mortal
